review_date,review_year,review_month,review_month_name,review_quarter,year_month
1999-12-06,1999,12,Dec,Q4,1999-12
2000-01-19,2000,1,Jan,Q1,2000-01
2000-02-26,2000,2,Feb,Q1,2000-02
2000-06-29,2000,6,Jun,Q2,2000-06
2000-08-09,2000,8,Aug,Q3,2000-08
2000-10-03,2000,10,Oct,Q4,2000-10
2001-09-24,2001,9,Sep,Q3,2001-09
2001-10-26,2001,10,Oct,Q4,2001-10
2002-05-01,2002,5,May,Q2,2002-05
2002-06-05,2002,6,Jun,Q2,2002-06
2002-07-03,2002,7,Jul,Q3,2002-07
2002-10-31,2002,10,Oct,Q4,2002-10
2002-11-07,2002,11,Nov,Q4,2002-11
2003-02-24,2003,2,Feb,Q1,2003-02
2003-05-07,2003,5,May,Q2,2003-05
2003-07-02,2003,7,Jul,Q3,2003-07
2003-10-11,2003,10,Oct,Q4,2003-10
2003-11-04,2003,11,Nov,Q4,2003-11
2003-12-02,2003,12,Dec,Q4,2003-12
2004-01-12,2004,1,Jan,Q1,2004-01
2004-02-15,2004,2,Feb,Q1,2004-02
2004-03-30,2004,3,Mar,Q1,2004-03
2004-04-08,2004,4,Apr,Q2,2004-04
2004-05-16,2004,5,May,Q2,2004-05
2004-06-23,2004,6,Jun,Q2,2004-06
2004-07-21,2004,7,Jul,Q3,2004-07
2004-08-19,2004,8,Aug,Q3,2004-08
2004-09-03,2004,9,Sep,Q3,2004-09
2004-10-20,2004,10,Oct,Q4,2004-10
2004-11-22,2004,11,Nov,Q4,2004-11
2004-12-09,2004,12,Dec,Q4,2004-12
2005-01-30,2005,1,Jan,Q1,2005-01
2005-02-16,2005,2,Feb,Q1,2005-02
2005-03-09,2005,3,Mar,Q1,2005-03
2005-04-21,2005,4,Apr,Q2,2005-04
2005-05-02,2005,5,May,Q2,2005-05
2005-06-14,2005,6,Jun,Q2,2005-06
2005-07-07,2005,7,Jul,Q3,2005-07
2005-08-10,2005,8,Aug,Q3,2005-08
2005-09-10,2005,9,Sep,Q3,2005-09
2005-10-13,2005,10,Oct,Q4,2005-10
2005-11-26,2005,11,Nov,Q4,2005-11
2005-12-21,2005,12,Dec,Q4,2005-12
2006-01-05,2006,1,Jan,Q1,2006-01
2006-02-06,2006,2,Feb,Q1,2006-02
2006-03-25,2006,3,Mar,Q1,2006-03
2006-04-25,2006,4,Apr,Q2,2006-04
2006-05-24,2006,5,May,Q2,2006-05
2006-06-26,2006,6,Jun,Q2,2006-06
2006-07-02,2006,7,Jul,Q3,2006-07
2006-08-20,2006,8,Aug,Q3,2006-08
2006-09-14,2006,9,Sep,Q3,2006-09
2006-10-12,2006,10,Oct,Q4,2006-10
2006-11-09,2006,11,Nov,Q4,2006-11
2006-12-15,2006,12,Dec,Q4,2006-12
2007-01-19,2007,1,Jan,Q1,2007-01
2007-02-10,2007,2,Feb,Q1,2007-02
