product_id,total_reviews,avg_star_rating,avg_sentiment
0006641040,7,4.2857,0.6974
2734888454,1,2.0,0.6369
7310172001,34,4.7647,0.8575
7310172101,28,4.8214,0.9013
B00002N8SM,8,1.125,-0.1486
B00002Z754,2,5.0,0.8746
B00004CI84,29,4.2414,0.6055
B00004CXX9,29,4.5862,0.5956
B00004RAMS,5,2.6,-0.039
B00004RAMX,2,2.5,-0.504
B00004RAMY,31,3.871,-0.2249
B00004RBDU,18,4.2222,0.4302
B00004RBDW,10,4.0,0.139
B00004RBDZ,10,3.5,0.399
B00004RYGX,45,4.4889,0.7765
B00004S1C5,4,4.5,0.5485
B00004S1C6,11,4.3636,0.6175
B000052Y74,1,5.0,0.9402
B00005344V,3,5.0,0.4423
B0000537KC,2,4.0,0.3939
B00005C2M2,6,5.0,0.9191
B00005C2M3,1,5.0,0.5574
B00005IX96,2,5.0,0.977
B00005IX97,3,4.6667,0.8133
B00005IX98,2,5.0,0.9204
B00005OMWO,1,4.0,0.8658
B00005OMWQ,1,4.0,0.9666
B00005U2FA,10,4.8,0.7163
B000069KQW,1,5.0,0.9698
B00006FMLY,1,5.0,0.5267
B00006G930,2,3.5,0.782
B00006IDJO,1,1.0,0.9118
B00006IDK9,1,5.0,0.9468
B00006L2ZT,3,5.0,0.9777
B00006LL38,3,3.6667,0.3846
B00008433V,2,2.5,0.5004
B000084346,1,5.0,0.1868
B000084388,1,5.0,0.7845
B000084DVR,1,5.0,0.9763
B000084DWM,15,3.7333,0.6659
B000084DXS,1,5.0,0.9337
B000084DYL,1,3.0,0.0
B000084E66,2,4.5,0.344
B000084E6V,30,4.2667,0.7328
B000084E76,3,3.3333,0.8406
B000084E9M,1,5.0,0.9534
B000084EBL,1,5.0,0.3724
B000084EBO,1,5.0,0.9794
B000084EHL,1,5.0,0.8126
B000084EHT,2,5.0,0.2572
B000084EHV,1,5.0,-0.8996
B000084EIQ,1,1.0,0.6808
B000084EJO,1,4.0,-0.2023
B000084EJT,1,4.0,0.91
B000084EK4,1,3.0,0.9558
B000084EK7,1,4.0,0.939
B000084EK8,1,3.0,0.9665
B000084EK9,2,3.0,0.699
B000084EKG,1,5.0,0.9701
B000084EKW,1,5.0,0.9829
B000084EKY,1,5.0,0.9871
B000084ELB,1,5.0,0.6249
B000084EOH,1,5.0,0.9192
B000084ETV,32,3.875,0.6041
B000084EVG,1,5.0,0.6369
B000084EVH,1,5.0,0.8555
B000084EZ4,25,4.4,0.8102
B000084F04,9,3.8889,0.8412
B000084F1I,11,4.3636,0.7451
B000084F1O,1,5.0,0.9062
B000084F1Z,1,5.0,0.6369
B000084F3O,2,5.0,0.9463
B000084F3X,1,5.0,0.9628
B000084F5E,2,5.0,0.5849
B000084F5K,1,5.0,0.9486
B000084F62,1,5.0,0.7579
B000084F6F,5,4.8,0.9596
B000087BJ3,1,5.0,0.9836
B00008CQVA,21,4.4762,0.7839
B00008DFAM,1,5.0,0.1531
B00008DFK5,6,4.8333,0.7764
B00008DFOG,1,5.0,0.9756
B00008DFTP,1,5.0,0.8977
B00008GQ4F,4,3.0,0.447
B00008GQ50,1,5.0,0.9678
B00008JOL0,11,4.9091,0.7254
B00008MOI8,1,5.0,0.9844
B00008MOIF,2,1.0,-0.2724
B00008MOIK,1,3.0,0.9231
B00008MOJ2,2,4.5,0.4602
B00008O35V,1,5.0,0.8923
B00008Q37R,2,5.0,0.8172
B00008WUA9,2,4.0,0.3526
B000093HOV,1,4.0,0.9246
B000096OIV,1,5.0,0.6369
B00009KF1J,2,3.5,0.9176
B00009ND7A,1,5.0,0.9837
B0000A0BS8,1,5.0,0.9818
B0000A1ODP,1,5.0,0.4927
B0000A1OEF,1,2.0,0.6249
B0000AE5ZD,1,3.0,0.8651
B0000AE5ZE,2,4.0,0.7931
B0000AE623,1,3.0,0.7906
B0000AH3RM,2,5.0,0.8175
B0000AH3UK,1,4.0,0.8097
B0000AH9XL,1,5.0,-0.842
B0000AHA22,1,5.0,-0.25
B0000BXJIS,3,5.0,0.9411
B0000BXJIU,1,5.0,0.9887
B0000BYDG9,1,1.0,-0.8923
B0000C69FB,5,4.2,0.8201
B0000CA4TK,1,5.0,0.8593
B0000CAV3C,1,5.0,0.5423
B0000CCZYY,1,5.0,0.9778
B0000CD019,1,4.0,0.8519
B0000CD06J,5,4.0,0.671
B0000CD9V4,1,5.0,0.9313
B0000CDAY2,2,5.0,0.4814
B0000CDBPV,1,5.0,0.9062
B0000CDBPW,1,5.0,0.8176
B0000CDBPX,3,5.0,0.6908
B0000CDBQB,1,5.0,0.7351
B0000CDBQD,2,5.0,0.8963
B0000CDBQF,2,3.0,0.739
B0000CDBQL,2,5.0,0.9686
B0000CDBQN,1,5.0,0.883
B0000CDBQP,1,5.0,0.9544
B0000CDBQT,1,5.0,0.5267
B0000CDBQZ,1,2.0,0.7579
B0000CDBRA,3,4.6667,0.6607
B0000CDBRH,1,5.0,0.9349
B0000CDBRJ,2,5.0,0.8784
B0000CDBRK,1,5.0,0.5994
B0000CDBRM,6,4.3333,0.7265
B0000CDBRN,3,5.0,0.6424
B0000CDBRQ,1,5.0,0.9022
B0000CDBRV,1,5.0,0.8862
B0000CDEPD,1,5.0,0.7783
B0000CEPDP,6,4.3333,0.6019
B0000CEPED,4,3.75,0.7267
B0000CEQ6I,1,5.0,0.4404
B0000CEQAA,1,5.0,0.9118
B0000CER0J,1,5.0,0.829
B0000CER6Z,1,5.0,0.93
B0000CER9K,2,5.0,0.8668
B0000CERTG,1,5.0,0.9893
B0000CERXU,3,4.6667,0.8281
B0000CERYI,2,4.5,0.8767
B0000CERZK,1,1.0,0.0
B0000CERZN,2,3.5,0.2248
B0000CES0O,5,4.0,0.4563
B0000CEU6P,4,3.75,0.5566
B0000CEU6T,4,4.0,0.752
B0000CEU7D,4,2.75,0.3333
B0000CEU7J,1,1.0,-0.7717
B0000CEUAL,1,5.0,0.8316
B0000CF8T1,8,4.625,0.615
B0000CF90P,1,2.0,-0.7003
B0000CFH6P,1,3.0,0.5256
B0000CFH7B,1,1.0,-0.7351
B0000CFMU3,1,5.0,0.8016
B0000CFN0Y,9,4.8889,0.7476
B0000CFNGU,1,5.0,0.8074
B0000CFP3T,1,5.0,0.8658
B0000CFPI2,7,5.0,0.888
B0000CFXYA,3,3.6667,0.3899
B0000CG4I0,1,5.0,0.9709
B0000CGDUK,1,5.0,0.9711
B0000CGE1S,1,5.0,0.9524
B0000CGE3G,1,4.0,0.9231
B0000CGFG1,1,5.0,0.9042
B0000CGFGS,1,5.0,0.8126
B0000CGFH6,1,5.0,0.9832
B0000CH39R,3,3.6667,0.4933
B0000CH39S,1,4.0,0.5423
B0000CH3AU,1,3.0,0.886
B0000CH4F7,1,5.0,0.9882
B0000CH4FA,1,1.0,0.9061
B0000CH4GF,1,5.0,0.765
B0000CNTZL,1,5.0,0.9352
B0000CNU0N,1,1.0,0.9129
B0000CNU0R,1,4.0,0.5859
B0000CNU18,1,5.0,0.93
B0000CNU1J,1,5.0,0.7964
B0000CNU1S,1,4.0,0.7727
B0000CNU1X,2,5.0,0.307
B0000CNU2B,2,3.0,0.5714
B0000CNU2J,1,4.0,0.9661
B0000CNU2K,1,5.0,0.9274
B0000CNU3M,2,2.5,0.8084
B0000CNU59,1,5.0,0.863
B0000CNU5N,1,1.0,0.9538
B0000CNU5T,1,5.0,0.8126
B0000CNU6Q,1,5.0,0.875
B0000CNU78,1,3.0,0.9578
B0000D15YQ,4,3.25,0.6533
B0000D1675,1,5.0,0.0
B0000D16V0,1,1.0,-0.5267
B0000D17FW,1,5.0,0.8155
B0000D17HA,3,5.0,0.7804
B0000D17HK,1,4.0,0.8126
B0000D17NR,1,5.0,0.6908
B0000D17W5,1,4.0,0.8658
B0000D17XD,1,2.0,-0.5267
B0000D88B6,1,2.0,0.9382
B0000D89R5,1,5.0,0.9524
B0000D8DI0,3,2.3333,0.7861
B0000D9169,1,5.0,0.886
B0000D94OR,2,1.0,0.6234
B0000D94P1,1,3.0,0.7184
B0000D94PA,1,5.0,0.7839
B0000D94PG,1,3.0,0.9001
B0000D94RZ,1,3.0,0.9865
B0000D953W,1,5.0,0.9246
B0000D9541,1,5.0,0.8883
B0000D954D,1,4.0,0.9091
B0000D9589,2,4.0,0.427
B0000D958H,1,4.0,0.743
B0000D958O,1,1.0,0.8319
B0000D9MR9,1,3.0,0.9618
B0000D9MSD,1,5.0,0.9771
B0000D9MT1,1,5.0,0.9186
B0000D9MTS,1,5.0,0.7964
B0000D9MVT,1,5.0,0.7351
B0000D9MWT,1,5.0,0.9207
B0000D9MXL,1,5.0,0.765
B0000D9MXU,1,5.0,0.886
B0000D9MY3,1,1.0,0.2263
B0000D9MYM,1,5.0,0.9796
B0000D9MYO,1,4.0,0.979
B0000D9MZZ,1,5.0,0.936
B0000D9N0I,1,5.0,0.9413
B0000D9N17,1,4.0,0.9715
B0000D9N1H,3,5.0,0.859
B0000D9N38,1,5.0,0.983
B0000D9N4M,1,4.0,0.6597
B0000D9N50,1,5.0,0.9783
B0000D9N59,3,4.6667,0.8246
B0000D9N5P,1,1.0,-0.0516
B0000D9N63,2,4.5,0.7445
B0000D9N68,1,5.0,0.0
B0000D9N74,1,2.0,0.6915
B0000D9N7H,1,5.0,-0.2732
B0000D9N8O,2,4.5,0.775
B0000D9N9A,1,2.0,-0.1779
B0000D9N9S,2,5.0,0.7742
B0000D9N9X,1,3.0,0.4588
B0000D9NBV,1,1.0,0.4019
B0000D9NDG,1,5.0,0.8123
B0000DBN1F,1,5.0,0.9805
B0000DBN1H,1,5.0,0.9886
B0000DBN1I,3,5.0,0.8841
B0000DBN1L,3,4.0,0.2691
B0000DBN1M,1,5.0,0.93
B0000DBN1Q,2,4.5,0.7207
B0000DBN2F,3,5.0,0.8763
B0000DBN2G,2,4.0,-0.1844
B0000DBN2I,2,4.0,0.9131
B0000DCKCN,1,5.0,0.7287
B0000DCWWB,1,3.0,0.3612
B0000DCWWI,1,5.0,0.9445
B0000DCWX3,1,5.0,-0.1027
B0000DCWZA,1,5.0,0.4754
B0000DCX9P,1,5.0,0.7096
B0000DCXCM,1,5.0,0.7968
B0000DCXG0,2,5.0,0.6686
B0000DCYMM,1,5.0,0.9521
B0000DD8O9,1,1.0,-0.4019
B0000DF3FA,1,5.0,0.4588
B0000DF3M8,1,5.0,0.8658
B0000DF3Z7,1,4.0,0.9382
B0000DG4M5,1,5.0,0.9442
B0000DG4N9,2,5.0,-0.0917
B0000DG4NJ,4,3.75,0.065
B0000DG4NK,2,4.5,0.8028
B0000DG55M,2,5.0,-0.0015
B0000DG55P,1,5.0,0.7964
B0000DG566,1,5.0,0.7902
B0000DG56C,1,5.0,0.6913
B0000DG56P,2,3.0,0.2948
